Station ID,Name,Data Source,Latitude,Longitude,Old Province,New Province,Old Amphure,New Amphure,Old Tambon,New Tambon,Formatted Address
1128981,นาวัง,TMD,17.308889,102.07972,หนองบัวลำภู,หนองบัวลำภู,นาวัง,อำเภอ นาวัง,ตำบลนาเหล่า,นาเหล่า,นาเหล่า อำเภอ นาวัง หนองบัวลำภู 39170 ประเทศไทย
1128982,โคกโพธิ์ไชย,TMD,16.066668,102.416664,ขอนแก่น,ขอนแก่น,โคกโพธิ์ไชย,อำเภอ โคกโพธิ์ไชย,ตำบลบ้านโคก,บ้านโคก,บ้านโคก อำเภอ โคกโพธิ์ไชย ขอนแก่น 40160 ประเทศไทย
1128983,ซำสูง,TMD,16.528055,103.065552,ขอนแก่น,ขอนแก่น,ซำสูง,อำเภอ ซำสูง,ตำบลกระนวน,กระนวน,กระนวน อำเภอ ซำสูง ขอนแก่น ประเทศไทย
1128984,บ้านแฮด,TMD,16.196945,102.763611,ขอนแก่น,ขอนแก่น,บ้านแฮด,อำเภอบ้านแฮด,ตำบลบ้านแฮด,บ้านแฮด,บ้านแฮด อำเภอบ้านแฮด ขอนแก่น 40110 ประเทศไทย
1128985,หนองนาคำ,TMD,16.722221,102.338333,ขอนแก่น,ขอนแก่น,เวียงเก่า,อำเภอ เวียงเก่า,ตำบลเขาน้อย,เขาน้อย,เขาน้อย อำเภอ เวียงเก่า ขอนแก่น 40150 ประเทศไทย
1128986,โนนศิลา,TMD,15.794723,102.692497,ขอนแก่น,ขอนแก่น,หนองสองห้อง,อำเภอ หนองสองห้อง,ตำบลหนองเม็ก,หนองเม็ก,หนองเม็ก อำเภอ หนองสองห้อง ขอนแก่น 40190 ประเทศไทย
1128987,ยางสีสุราช,TMD,15.783334,102.550003,ขอนแก่น,ขอนแก่น,พล,อำเภอพล,ตำบลลอมคอม,ลอมคอม,ลอมคอม อำเภอพล ขอนแก่น ประเทศไทย
1128988,ชื่นชม,TMD,16.548334,103.11528,มหาสารคาม,มหาสารคาม,ชื่นชม,อำเภอ ชื่นชม,ตำบลชื่นชม,ชื่นชม,ชื่นชม อำเภอ ชื่นชม มหาสารคาม 44160 ประเทศไทย
1128989,กุดรัง,TMD,16.087778,103.006386,มหาสารคาม,มหาสารคาม,กุดรัง,อำเภอ กุดรัง,ตำบลกุดรัง,กุดรัง,กุดรัง อำเภอ กุดรัง มหาสารคาม ประเทศไทย
1128990,ภักดีชุมพล,TMD,15.85,101.416664,ชัยภูมิ,ชัยภูมิ,ภักดีชุมพล,อำเภอ ภักดีชุมพล,ตำบลเจาทอง,เจาทอง,เจาทอง อำเภอ ภักดีชุมพล ชัยภูมิ 36260 ประเทศไทย
1128991,หนองฮี,TMD,15.616667,104,ร้อยเอ็ด,ร้อยเอ็ด,หนองฮี,อำเภอ หนองฮี,ตำบลหนองฮี,หนองฮี,หนองฮี อำเภอ หนองฮี ร้อยเอ็ด 45140 ประเทศไทย
1128992,เชียงขวัญ,TMD,16.182501,102.726387,ขอนแก่น,ขอนแก่น,บ้านแฮด,อำเภอบ้านแฮด,ตำบลโคกสำราญ,โคกสำราญ,โคกสำราญ อำเภอบ้านแฮด ขอนแก่น 40110 ประเทศไทย
1128993,ทุ่งเขาหลวง,TMD,15.978889,103.855553,ร้อยเอ็ด,ร้อยเอ็ด,ทุ่งเขาหลวง,อำเภอ ทุ่งเขาหลวง,ตำบลเทอดไทย,เทอดไทย,เทอดไทย อำเภอ ทุ่งเขาหลวง ร้อยเอ็ด ประเทศไทย
1128994,เมืองยาง,TMD,15.416945,102.897224,นครราชสีมา,นครราชสีมา,เมืองยาง,อำเภอ เมืองยาง,ตำบลเมืองยาง,เมืองยาง,เมืองยาง อำเภอ เมืองยาง นครราชสีมา 30270 ประเทศไทย
1128995,เทพารักษ์,TMD,15.286111,101.57222,นครราชสีมา,นครราชสีมา,เทพารักษ์,อำเภอ เทพารักษ์,ตำบลสำนักตะคร้อ,สำนักตะคร้อ,สำนักตะคร้อ อำเภอ เทพารักษ์ นครราชสีมา 30210 ประเทศไทย
1128996,โนนนารายณ์,TMD,15.236111,103.948334,สุรินทร์,สุรินทร์,โนนนารายณ์,อำเภอ โนนนารายณ์,ตำบลหนองหลวง,หนองหลวง,หนองหลวง อำเภอ โนนนารายณ์ สุรินทร์ 32130 ประเทศไทย
1128997,บ้านด่าน,TMD,15.103889,103.178612,บุรีรัมย์,บุรีรัมย์,บ้านด่าน,อำเภอ บ้านด่าน,ตำบลบ้านด่าน,บ้านด่าน,บ้านด่าน อำเภอ บ้านด่าน บุรีรัมย์ 31000 ประเทศไทย
1128998,แคนดง,TMD,15.323055,103.139999,บุรีรัมย์,บุรีรัมย์,แคนดง,อำเภอ แคนดง,ตำบลแคนดง,แคนดง,แคนดง อำเภอ แคนดง บุรีรัมย์ 31150 ประเทศไทย
1128999,หนองมะโมง,TMD,15.277223,99.88028,ชัยนาท,ชัยนาท,หนองมะโมง,อำเภอ หนองมะโมง,ตำบลหนองมะโมง,หนองมะโมง,หนองมะโมง อำเภอ หนองมะโมง ชัยนาท 17120 ประเทศไทย
